hale,健壮的， 矍铄的
bastion,保垒， 防御工事
abrasive,研磨的
passively,被动地， 顺从地
decadence,衰落， 颓废
contradict,反驳， 驳斥
ecological,生态的； 生态学的
fleeting,短暂的； 飞逝的
momentous,极为重要的， 重大的
allegiance,忠诚， 拥护
forte,强音的。长处，特长
gravel,碎石， 砂砾
dissonant,不和谐的， 不一致的
converge,聚合， 集中于一点； 汇聚
pertinent,有关的， 相关的
supercilious,目中无人的
debility,衰弱， 虚弱
malediction,诅咒
epitomize,概括， 摘要
pauper,贫民； 乞丐
vacillate,游移不定， 踌躇
surreptitious,鬼鬼祟祟的
spineless,没骨气的， 懦弱的
elucidate,阐明， 说明
umpire,对…进行仲裁。仲裁者
downpour,倾盆大雨
askew,歪斜的
imponderable,无法衡量的
endue,赋予， 授予
cloudburst,大暴雨
dispel,驱散， 消除
supplicate,恳求， 祈求
ignominious,可耻的； 耻辱的
spice,给…调味。香料
pedagogy,教育学， 教学法
autonomous,自治的； 自主的
perception,感知， 知觉； 洞察力
vandalism,恶意破坏
catalyze,促使； 激励
undertake,承担； 担保， 保证
byproduct,副产品； 副作用
bridle,抑制， 控制。马笼头
deprivation,剥夺； 丧失
introvert,性格内向的人
entrance,使出神， 使入迷
motley,混杂的； 多色的， 杂色的
charlatan,江湖郎中， 骗子
anticipatory,预想的， 预期的
acoustic,听觉的， 声音的
articulate,清楚地说话； 连接
impending,即将发生的， 逼近的
traverse,横穿， 横跨
rigorous,严格的， 严峻的
secular,世俗的， 尘世的
effete,无生产力的； 虚弱的
activate,刺激， 使活动
endow,捐赠； 赋予
supportive,支持的
indent,切割成锯齿状
financial,财政的， 金融的
ferocity,凶猛， 残暴
enormity,极恶； 暴行； 巨大
plaudit,喝彩， 赞扬
demoralize,使士气低落
righteousness,正当， 正义， 正直
exalt,赞扬， 歌颂
promissory,允诺的， 约定的
gusher,滔滔不绝的说话者； 喷油井
spiel,滔滔不绝的讲话
commensurate,同样大小的； 相称的
diaphanous,精致的； 半透明的
render,呈递， 提供； 给予， 归还
unmitigated,未缓和的， 未减轻的
armored,披甲的， 装甲的
relieve,减轻， 解除
indignity,侮辱， 轻蔑； 侮辱性的行为
choreographic,舞蹈术的， 舞台舞蹈的
transpose,颠倒顺序， 调换
needle,针； 针叶
neologism,新字， 新词
hiatus,空隙， 裂缝
axiom,公理； 定理
summon,传唤； 召集
expertise,专门技术， 专业知识
annihilate,消灭
feckless,无效的， 效率低的； 不负责任的
pivot,旋转。枢轴，中心
rabid,患狂犬病的； 疯狂的， 狂暴的
remorse,懊悔， 悔恨
palatial,宫殿般的； 宏伟的
dissuade,劝阻， 阻止
conclusive,最后的， 结论的， 决定性的； 确凿的， 消除怀疑的
encompass,包围， 围绕
waver,摇摆； 踌躇
velvety,天鹅绒般柔软光滑的； 醇口的， 可口的
impermissible,不容许的
deposit,存放； 使沉积)
querulous,抱怨的， 爱发牢骚的
deface,损坏
fluctuation,波动， 起伏， 涨落
impassive,无动于衷的， 冷漠的
brackish,微咸的； 难吃的
upfront,坦率的
occult,秘密的， 不公开的
simultaneous,同时发生的
improvise,即席创作
guarantee,保证， 担保
demobilize,遣散， 使复员
pounce,猛扑； 突然袭击。爪；猛扑
leach,过滤
bifurcate,分为两支， 分叉
knack,特殊能力； 窍门
default,不履行。违约；未履行的责任；拖欠
indolent,懒惰的
indemnify,赔偿， 偿付
insane,疯狂的
mawkish,自作多情的， 过度伤感的； 淡而无味的， 令人作呕的
effulgent,灿烂的， 光辉的
indenture,〔旧时的〕师徒契约
synergic,协同作用的
frisky,活泼的， 快活的
triumph,成功， 获胜。成功，胜利
slumber,睡眠，安睡。睡眠
defray,支付， 支出
ratification,正式批准
optimum,最有利的， 最理想的
consensus,意见一致
embellish,装饰， 美化
outmaneuver,以策略制胜
retract,撤回， 取消； 缩回， 拉回
countenance,支持，赞成。表情
gnawing,痛苦的， 折磨人的。啃，咬
pulchritude,美丽， 标致
pettish,易怒的， 闹情绪的
colloquial,口语的， 口头的
unnoteworthy,不显著的， 不值得注意的
remains,残余， 遗迹
incorporate,合并， 并入
clemency,温和； 仁慈， 宽厚
summation,总结， 概要； 总数， 合计
fossilized,变成化石的
incomplete,不完全的， 不完整的
textured,手摸时有感觉的； 有织纹的
radicalism,激进主义
counterpart,相对应或具有相同功能的人或物
demarcate,划分， 划界
pendulum,摆， 钟摆
lackluster,无光泽的； 呆滞的
odometer,里程表)
superb,上乘的， 出色的
baroque,过分装饰的
transcontinental,横贯大陆的
nonchalance,冷漠， 冷淡
duplicate,复制的， 两重的。复制。复制品， 副本
affable,和蔼的； 友善的
unbridled,放纵的， 不受约束的
diatribe,抨击
eradicate,根除； 扑灭
gauche,笨拙的， 不会社交的
solemnity,庄严， 肃穆
remand,遣回； 召回
patriotism,爱国主义， 爱国心
accomplice,共犯， 同谋
submit,屈服； 提交， 呈递
snatch,强夺，攫取。强夺， 攫取
sun-bronzed,被太阳晒成古铜色的
contrition,悔罪， 痛悔
durable,持久的； 耐用的
impose,征收； 强加
thrash,鞭打
trademark,保证商标权。特征；商标
perfervid,过于热心的
rack,使痛苦不堪， 使受折磨
dumbfound,使…惊讶
paleolithic,旧石器时代的
wan,虚弱的； 病态的
wax,给…上蜡； 增大； 渐满。蜡
arable,适于耕种的
stellar,星的， 星球的
stipple,点画， 点描
obverse,正面
flippant,无礼的； 轻率的
lowbred,粗野的， 粗俗的
fad,时尚
underwrite,同意负担…的费用； 通过保单承担
mangle,毁坏， 毁损； 损坏
insurrection,造反， 叛乱
synonymous,同义的
moribund,即将结束的； 垂死的
raff,大量， 许多
unscathed,未受损伤的， 未受伤害的
embed,牢牢插入， 使嵌入
bashfulness,羞怯
ambivalent,有矛盾看法的
esoteric,秘传的； 机密的， 隐秘的
ruthlessness,无情， 冷酷， 残忍
gaff,大鱼钩， 鱼叉； 【海】斜桁
rendering,表演； 翻译
pedantry,迂腐
tranquility,宁静， 安静
browse,吃草；浏览。嫩叶； 嫩芽
elated,得意洋洋的， 振奋的
chorale,赞美诗； 合唱队
intensify,使加剧
pensive,沉思的； 忧心忡忡的
piety,孝顺， 孝敬)； 虔诚(religious devotion and reverence to God； devoutness)
gain,利润， 收获
engross,全神贯注于
flustered,慌张的， 激动不安的
tragic,悲惨的
raspy,刺耳的； 易怒的
sterilize,使不育； 杀菌
relieved,宽慰的， 如释重负的
grin,露齿而笑； 眦牙咧嘴
quaint,离奇有趣的； 古色古香的
discursive,散漫的， 不得要领的
explore,探究； 勘探； 考察
egoist,自我主义者
grit,下定决心， 咬紧牙关。沙粒；决心，勇气
climate,气候； 风气
cosmos,宇宙
recherche,精心挑选的； 异国风味的
egoism,利己主义
peripatetic,巡游的， 流动的
disembodied,无实体的， 空洞的
criticize,评论， 批评； 挑剔
wanton,无节制的， 肆无忌惮的； 嬉戏的， 淘气的
rage,狂怒， 大发雷霆。盛怒
behold,注视， 看见
hull,剥去外壳。外壳；船身
indebted,感激的， 蒙恩的
grim,冷酷的， 可怕的
pharmaceutical,制药的， 卖药的
arrest,逮捕； 阻止， 制止
retrace,回顾， 追溯
abnegate,否认， 放弃
discontent,使不满。不满的。不满
subservient,次要的， 从属的； 恭顺的
protocol,外交礼节； 协议， 草案
provoke,激怒； 引起； 驱使
commercialize,使商业化， 使商品化
remonstrate,抗议； 告诫
gruesome,令人毛骨悚然的， 阴森的
rapprochement,友好， 友善关系的建立
repugnant,令人厌恶的
haphazardly,偶然地； 随意地； 杂乱地
flagellate,鞭打， 鞭笞
tranquil,平静的
choleric,易怒的， 暴躁的
strait,狭窄的。海峡
fastidious,难取悦的， 挑剔的
personally,亲自； 作为个人
invigorate,鼓舞， 使精力充沛
self-adulation,自我吹捧
elementary,初级的
inhale,吸入， 吸气
automotive,汽车的， 自动的
embarrass,使局促不安， 使窘迫
stigma,耻辱的标志， 污点
pathology,病理学
embryological,胚胎学的
volley,齐发， 群射； 截击。齐发，群射
viscid,黏性的
crucial,决定性的
sequestrate,扣押， 没收
cognizant,知道的， 认识的
intelligible,可理解的， 易于理解的
unproven,未经证实的
dissimulate,隐藏， 掩饰
bewilder,使迷惑， 混乱
barter,易货贸易
gall,胆汁； 怨恨
egalitarian,主张人人平等的
diminish,减少， 缩小
inconstancy,反复无常
stagnate,停滞
sorcery,巫术， 魔术
variance,分歧， 不和； 不同， 变化
defame,诽谤， 中伤
anticlimactic,突减的
rant,大声责骂； 咆哮
dumbbell-like,哑铃状的
hush,安静下来。肃静，安静
periphrastic,迂回的， 冗赘的
outlet,出口
ablaze,着火的， 燃烧的； 闪耀的
prowl,潜行，悄悄踱步。四处觅食， 徘徊
illusive,迷惑人的， 迷幻的
cosmic,宇宙的
ancestor,祖先， 祖宗
piebald,花斑的， 黑白两色的
licentious,放荡的， 纵欲的； 放肆的
privation,匮乏， 贫困
panic,恐慌的。恐慌， 惊惶
extend,延伸， 扩大； 舒展； 宽延， 延缓
eventful,多事的； 重要的
fold,折叠。羊栏
folksy,亲切的， 友好的
interpretation,解释， 说明； 演绎
genus,属， 类
impervious,不能渗透的； 不为所动的
hurl,用力投掷； 大声叫骂
draggy,拖拉的， 极为讨厌的
sentient,有感觉能力的； 意识到的
inscribe,写、 题写
rapt,入迷的， 全神贯注的
institutionalized,制度化的
aerate,充气， 让空气进入
genre,类型， 体裁
infuriate,使恼怒， 激怒
tined,尖端的
cacophonous,发音不和谐的， 不协调的
renal,肾脏的， 肾的
forgery,伪造
plunge,跳进， 陷入； 俯冲
skeptical,怀疑的； 多疑的
pontifical,教皇的； 自负的； 武断的
burgeon,迅速成长， 发展
opacity,不透明性； 晦涩
naive,天真的， 纯朴的
gape,裂开； 目瞪口呆地凝视
byzantine,错综复杂的
expenditure,花费， 支出； 支出额
hobble,蹒跚； 跛行
devotional,献身的， 虔诚的
scare,惊吓， 受惊， 惊恐
congenial,意气相投的， 趣味相投的； 性情好的； 适意的
schism,教会分裂； 分裂
woe,悲痛， 悲哀； 不幸， 灾难
excessively,过度地
snare,圈套， 陷阱
accomplished,完成了的； 有技巧的
corroboration,证实， 支持
woo,求爱， 求婚； 恳求， 争取
garment,衣服
specious,似是而非的； 华而不实的
terse,简洁的， 简明的
voracious,狼吞虎咽的， 贪吃的； 贪婪的， 贪得无厌的
caricature,讽刺画； 滑稽模仿
unconvinced,不信服的
muzzy,头脑糊涂的
unpredictable,不可预知的
snarl,纠缠，混乱；咆哮，怒骂。纠缠， 混乱； 怒吼声， 咆哮声
inexplicable,无法解释的
profound,深的； 深刻的， 深远的； 渊博的； 深奥的
horrific,可怕的
phantom,鬼怪， 幽灵； 幻影， 幻象
aspiration,抱负， 渴望
foible,小缺点， 小毛病
abeyance,中止， 搁置
clamber,吃力地爬上， 攀登
whiff,一股淡淡的气味
gabby,饶舌的， 多嘴的
halcyon,平静的； 愉快的； 繁荣的
lamentable,令人惋惜的， 悔恨的
augmentation,增加
antecedence,居先， 先行
content,知足的，满意的。满意；满足。满意； 内容
hover,翱翔； 徘徊
ploy,花招， 策略
subterfuge,诡计， 托辞
alert,警惕的，机警的。警报
plot,密谋， 策划。情节；阴谋
obsolescent,逐渐荒废的
prophecy,预言
prosperity,繁荣； 幸运
adulatory,奉承的
contrary,相反的； 对抗的
contend,竞争， 争夺； 争论， 争辩
covert,秘密的， 隐蔽的
thwart,阻挠， 使受挫折， 挫败
plod,沉重地走；辛勤工作。艰难行进
splice,接合， 拼接
crestfallen,挫败的， 失望的
conserve,保存， 保藏
tease,逗乐，戏弄；强求，强要。逗乐， 戏弄
skimp,节省花费
fused,熔化的
mnemonics,记忆法， 记忆术
rasp,发出刺耳的声音； 锉， 刮削
depose,免职； 宣誓作证
sedate,镇静的
limbo,不稳定的状态， 中间状态
wry,扭曲的， 歪曲的； 嘲弄的， 讽刺的
transcription,誊写， 抄写； 抄本， 副本
exhilarate,使兴奋， 使高兴； 使振作， 鼓舞
rebarbative,令人讨厌的， 冒犯人的
divine,推测， 预言
capricious,变化无常的， 任性的
abhor,憎恨， 厌恶
authorization,授权， 认可
foul,污秽的，肮脏的；恶臭的；邪恶的。弄脏。犯规
flourish,繁荣， 兴旺； 活跃而有影响力
intricate,错综复杂的； 难懂的
stilted,不自然的； 夸张的
ciliate,有纤毛的； 有睫毛的
contemplate,深思； 凝视
context,上下文
believable,可信的
conscript,征兵， 征召入伍
unbroken,完整的； 连续的
dint,击出凹痕
pundit,权威人士， 专家
subsistence,生存， 生计； 存在
dejected,沮丧的， 失望的， 灰心的
lingual,舌的； 语言的
impartiality,公平， 公正
rave,胡言乱语， 说疯语。热切赞扬
announce,宣布， 发表； 通报…的到来
certification,证明
additive,添加剂
habitable,可居住的
understated,轻描淡写的， 低调的
plaintive,哀伤的， 悲伤的
supplement,增补。增补，补充
halting,踌躇的， 迟疑不决的
crafty,狡诈的； 灵巧的
brittle,易碎的， 脆弱的
affinity,相互吸引； 密切关系
accrue,增加； 积累
majestic,雄伟的， 庄严的
goggle,瞪大眼睛看。护目镜
recede,后退， 撤回
dire,可怕的
irreproachable,无可指责的， 无瑕疵的
customary,合乎习俗的
irreparable,不能挽回的， 无法弥补的
profligacy,放荡； 肆意挥霍
explicable,可解释的
delight,使高兴， 使欣喜。快乐， 高兴， 乐事
proficient,熟练的， 精通的
demagogue,蛊惑民心的政客
sullen,忧郁的
impromptu,即席的， 即兴的
shilly-shally,犹豫不决； 虚度时光
stabilize,使稳定， 使坚固
dilatory,慢吞吞的， 磨蹭的
placid,安静的， 平和的
solitary,孤独的。隐士
swagger,大摇大摆地走
salve,减轻， 缓和。药膏
inelastic,无弹性的
vengeful,渴望复仇的， 复仇心重的
skirt,绕过， 回避
homogenize,使均匀
sufficient,足够的
overbalance,使失去平衡
glaze,上釉于；使光滑。釉
thaw,解冻， 融化
self-assured,有自信的
fasten,使固定
incertitude,不确定； 无把握， 怀疑
contest,竞争； 质疑
tinge,给…着色； 使略带…气息
turmoil,混乱， 骚乱
possessed,着迷的， 入迷的
rekindle,再点火； 使重新振作
raze,夷为平地； 彻底破坏
fiscal,国库的； 财政的
gaze,凝视，注视。凝视， 注视
suggestive,暗示的
totalitarian,极权主义的
renege,食言， 违约
